Titre,ABREVIATION,ADRESSE,CP,ARRDT,Téléphone,latitude,longitude
Service des Musées,Musées,Centre de la Vieille Charité ­2 rue de la Charité ,13233 Marseille cedex 20,2ème,04 91 14 58 80,43.30002899999999,5.368277000000035
Musée d'Histoire de Marseille,MHM,2 rue Henri Barbusse,13233 Marseille cedex 20,1er,04 91 55 36 00 ,43.2983824,5.374280699999986
Musée Borély,Borély,"132, avenue Clot Bey
Château Borély
Parc Borély ",13233 Marseille cedex 20,8ème,04 91 55 33 60,43.25614929999999,5.3823946999999634
Musée des Beaux-Arts,MBA,Palais Longchamp  Aile gauche ,13233 Marseille cedex 20,4ème,04 91 14 59 30,43.3054749,5.397353100000032
Musée Cantini,Cantini,19 rue Grignan,13233 Marseille cedex 20,6ème,04 91 54 77 75 ,43.2921011,5.378250699999967
Musée d'Art Contemporain,MAC,69 avenue de Haïfa ,13233 Marseille cedex 20,8ème,04 91 25 01 07 ,43.2509761,5.390449100000069
Mémorial de la Marseillaise,Mémorial,23-25 rue Thubaneau,13233 Marseille cedex 20,1er,04 91 55 36 00 ,43.297964,5.3784809
"Musée d'Arts Africains, Océaniens, Amérindiens",MAAOA,Centre de la Vieille Charité ­2 rue de la Charité ,13233 Marseille cedex 20,2ème,04 91 14 58 38 ,43.30002899999999,5.368277000000035
Le Préau des Accoules,,29 montée des Accoules,13233 Marseille cedex 20,2ème,04 91 91 52 06 ,43.29768259999999,5.366825800000015
Musée Grobet Labadié,Grobet,140 bd Longchamp,13233 Marseille cedex 20,1er,04 91 62 21 82 ,43.3031654,5.393090000000029
Musée d'Archéologie Méditerranéenne,MAM,Centre de la Vieille Charité ­2 rue de la Charité (1er étage),13233 Marseille cedex 20,2ème,04 91 14 58 59,43.30002899999999,5.368277000000035
Musée de la Moto,,"18 traverse Saint-Paul, quartier du Merlan",13233 Marseille cedex 20,13ème,04 91 55 48 43,43.3276972,5.40399130000003
Musée des Docks Romains,Les Docks,10 place Vivaux,13233 Marseille cedex 20,2ème,04 91 55 36 00 ,43.2967673,5.368557699999997
Cabinet des Monnaies et Médailles de Marseille,C3M,10 rue Clovis Hugues,13233 Marseille cedex 20,3ème,04 91 55 33 75,43.30798069999999,5.387923099999966
Service des Bibliothèques,Bibliothèques,23 rue de la providence,13231 Marseille Cedex 1,1er,04 91 55 90 00,43.2996288,5.378194600000029
Bibliothèque de l'Alcazar,Alcazar,58 Cours Belsunce,13233 Marseille cedex 20,1er,04 91 55 90 00 ,43.2990874,5.377040099999931
Bibliothèque de Bonneveine,Bonneveine,Centre vie de Bonneveine,13233 Marseille cedex 20,8ème,04 91 25 10 10 ,43.2486746,5.389487299999928
Bibliothèque de Castellane,Castellane,"Station Métro Castellane
Place de Castellane ",13233 Marseille cedex 20,6ème,04 91 42 92 09 ,43.28623220000001,5.384317199999941
Bibliothèque des Cinq-avenues,Cinq-avenues,Impasse Fissiaux,13233 Marseille cedex 20,4ème,04 91 49 42 36 ,43.30200399999999,5.396280199999978
Bibliothèque de la Grognarde,Grognarde,2 square Berthier,13233 Marseille cedex 20,11ème,04 91 89 57 04 ,43.294276583678055,5.433899357904011
Bibliothèque du Merlan,Merlan,"Centre urbain du Merlan
Avenue Raimu",13233 Marseille cedex 20,14ème,04 91 12 93 60 ,43.3320435,5.398636200000055
Bibliothèque du Panier,Panier,Couvent du Refuge - Place du Refuge ,13233 Marseille cedex 20,2ème,04 91 91 20 50 ,43.2985334,5.367614600000024
Bibliothèque de Saint-André,Saint André,"6, boulevard Salducci ",13233 Marseille cedex 20,16ème,04 91 03 72 72 ,43.3575429,5.3427423000000545
Opéra municipal,Opéra,2 rue Molière,13233 Marseille cedex 20,1er,04 91 55 21 07 - 04 91 55 14 99 ,43.2936212,5.376047900000003
Odéon,Odéon,162 la Canebière,13233 Marseille cedex 20,1er,04 96 12 52 70 ,43.2980749,5.384709499999985
Conservatoire National de Région,CNRR,Place Carli,13233 Marseille cedex 20,1er,04 91 55 35 74 ,43.2959308,5.38380410000002
Muséum d'Histoire Naturelle,MHN,Palais Longchamp  Aile droite,13233 Marseille cedex 20,4ème,04 91 14 59 55,43.3054749,5.397353100000032
Service des Archives Municipales,SAM,10 rue Clovis Hugues,13233 Marseille cedex 20,3ème,04 91 55 33 75,43.30798069999999,5.387923099999966
Conservation du Patrimoine des Musées,CPM,4 rue Clovis Hugues,13233 Marseille cedex 20,3ème,04 91 55 11 11 ,43.30798069999999,5.387923099999966
